,condition,odometer,mmr,sellingprice,using_time
336473,3.7,38276.0,20300,20400,3
433512,2.0,125027.0,1075,325,15
308921,3.6,50728.0,11200,11600,2
550300,1.0,163104.0,500,400,16
7035,3.6,110597.0,6575,7600,7
500145,3.4,35286.0,17300,17200,2
514333,4.3,35121.0,10700,11200,2
482181,4.4,5146.0,13400,10600,2
193032,5.0,19755.0,30900,31250,3
172695,3.6,51984.0,12050,12100,3
441235,3.5,111798.0,3050,3050,9
238097,3.4,129281.0,5700,4700,7
437234,2.0,146923.0,1625,1200,14
113921,4.2,30284.0,18950,20400,3
537448,,31140.0,14650,9500,2
321468,2.2,132215.0,4200,2700,8
432161,3.7,89333.0,5925,7500,7
327658,2.6,39072.0,12950,11100,3
115223,2.0,80397.0,4850,5200,7
95853,4.2,28427.0,16500,16500,3
365326,2.0,127250.0,4225,4100,9
95465,4.2,19578.0,35300,34500,0
13211,2.9,33169.0,20600,19250,4
147786,3.4,96333.0,6625,5600,3
250654,4.0,13514.0,21700,21900,1
106932,3.4,40805.0,24900,23300,3
386504,4.9,57730.0,15450,16900,2
173642,,165037.0,2425,2400,12
159055,4.4,52292.0,24100,23100,4
171928,3.8,29710.0,12750,12500,1
148792,2.8,33158.0,18100,18400,3
49305,3.8,41577.0,16900,16250,3
417937,4.3,25300.0,11850,11700,1
443592,4.1,14985.0,21100,19600,1
496584,2.7,43838.0,30500,31000,2
64465,1.0,29135.0,10100,7400,1
32040,3.7,63955.0,6850,7400,7
366673,3.7,31445.0,19850,20000,4
478785,1.0,76561.0,18050,15400,5
126956,1.9,124882.0,7375,4200,9
498895,2.7,74142.0,14000,14100,2
107482,3.4,79095.0,6775,8000,3
311605,4.9,25537.0,24500,30000,1
345614,4.3,20506.0,14450,15300,2
398999,3.7,37938.0,11300,11700,1
308270,3.1,62737.0,10950,10600,3
162103,2.3,33611.0,11750,10600,3
393218,2.9,45582.0,20300,18800,3
21961,1.0,33357.0,13500,9900,2
235386,1.9,95692.0,3375,3800,11
406688,3.2,140416.0,11350,12000,8
428765,4.1,94258.0,7325,7200,4
48932,4.7,19226.0,40100,42500,4
136703,3.3,18126.0,11550,12000,3
81166,3.3,77931.0,6525,6100,7
40772,3.7,51315.0,10050,9700,2
284470,4.6,24718.0,22400,22800,3
105655,2.6,96379.0,7225,5100,4
306205,2.1,106870.0,7225,6900,10
215229,2.7,42753.0,38800,38000,1
357373,4.4,24250.0,13000,13400,1
401764,1.9,114739.0,7050,5800,9
111240,5.0,19743.0,22800,23000,0
71897,2.0,144723.0,2150,3300,13
431952,1.9,136322.0,3225,3000,9
96399,2.6,137278.0,3050,3200,10
461262,3.4,42654.0,9025,8800,2
154612,2.2,151762.0,2900,1550,9
381060,1.0,170164.0,900,350,13
372615,4.7,35853.0,33300,32700,2
506619,3.7,78762.0,32700,28500,2
262281,4.6,22362.0,19950,20900,1
273625,4.0,17823.0,11500,11600,1
203348,4.4,25032.0,22700,25750,3
78880,4.3,54803.0,12250,13300,3
